loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition
1840,10964440,K01310.02,,CANDIDATE,CANDIDATE
1841,10713616,K01311.01,Kepler-1667 b,CONFIRMED,CANDIDATE
1842,10963242,K01312.01,Kepler-814 b,CONFIRMED,CANDIDATE
1843,10963242,K01312.02,,FALSE POSITIVE,FALSE POSITIVE
1844,10785538,K01313.01,,FALSE POSITIVE,FALSE POSITIVE
1845,10585852,K01314.01,Kepler-815 b,CONFIRMED,CANDIDATE
1846,10928043,K01315.01,,CANDIDATE,CANDIDATE
1847,10794087,K01316.01,Kepler-1743 b,CONFIRMED,CANDIDATE
1848,10794087,K01316.02,,CANDIDATE,CANDIDATE
1849,4275739,K01317.01,,FALSE POSITIVE,FALSE POSITIVE
1850,4070376,K01318.01,,FALSE POSITIVE,FALSE POSITIVE
1851,4078157,K01319.01,,FALSE POSITIVE,FALSE POSITIVE
1852,4078157,K01319.02,,CANDIDATE,CANDIDATE
1853,4164994,K01320.01,Kepler-816 b,CONFIRMED,CANDIDATE
1854,4480676,K01321.01,,FALSE POSITIVE,FALSE POSITIVE
1855,4079535,K01322.01,,FALSE POSITIVE,FALSE POSITIVE
1856,4076098,K01323.01,Kepler-817 b,CONFIRMED,CANDIDATE
1857,4551328,K01324.01,,FALSE POSITIVE,FALSE POSITIVE
1858,4282872,K01325.01,Kepler-818 b,CONFIRMED,CANDIDATE
1859,4639868,K01326.01,,FALSE POSITIVE,FALSE POSITIVE
1860,4372768,K01327.01,,FALSE POSITIVE,FALSE POSITIVE
1861,4074736,K01328.01,,CANDIDATE,CANDIDATE
1862,4072526,K01329.01,Kepler-819 b,CONFIRMED,CANDIDATE
1863,4150539,K01330.01,,FALSE POSITIVE,FALSE POSITIVE
1864,4150539,K01330.02,,FALSE POSITIVE,FALSE POSITIVE
1865,4274548,K01331.01,,CANDIDATE,CANDIDATE
1866,4455231,K01332.01,Kepler-288 c,CONFIRMED,CANDIDATE
1867,4455231,K01332.02,Kepler-288 b,CONFIRMED,CANDIDATE
1868,4455231,K01332.03,Kepler-288 d,CONFIRMED,CANDIDATE
1869,4285107,K01333.01,,FALSE POSITIVE,FALSE POSITIVE
1870,4150624,K01334.01,,FALSE POSITIVE,FALSE POSITIVE
1871,4150624,K01334.02,,FALSE POSITIVE,FALSE POSITIVE
1872,4155328,K01335.01,Kepler-820 b,CONFIRMED,CANDIDATE
1873,4077526,K01336.01,Kepler-58 b,CONFIRMED,CANDIDATE
1874,4077526,K01336.02,Kepler-58 c,CONFIRMED,CANDIDATE
1875,4077526,K01336.03,Kepler-58 d,CONFIRMED,CANDIDATE
1876,4077526,K01336.04,Kepler-58 e,CONFIRMED,CANDIDATE
